text,sentiment,aspect
Quality is magnificent!,Positive,Product Quality
"it is too expensive, defective value.",Negative,Pricing
My experience with the agent was trash!,Negative,Customer Service
i found the item to be acceptable.,Neutral,Product Quality
The build material is bland.,Neutral,Product Quality
the product is top-notch.,Positive,Product Quality
I found the item to be first-rate!,Positive,Product Quality
Customer service was decent!,Neutral,Customer Service
the app is great.,Positive,App/Website
The product is bad.,Negative,Product Quality
Shipping was tolerable.,Neutral,Delivery
logistics and shipping speed were great.,Positive,Delivery
"honestly, the product feels worst.",Negative,Product Quality
"they ignored my emails, glorious support.",Positive,Customer Service
customer service was middle-of-the-road.,Neutral,Customer Service
The website is dreadful.,Negative,App/Website
"It took forever to arrive, horrible shipping.",Negative,Delivery
"Honestly, the product feels outstanding!",Positive,Product Quality
logistics and shipping speed were so-so.,Neutral,Delivery
Shipping was middle-of-the-road.,Neutral,Delivery
"for the cost, this is inadequate.",Negative,Pricing
The product is loved!,Positive,Product Quality
pricing is absolutely superb.,Positive,Pricing
"Support replied immediately, repulsive service.",Negative,Customer Service
Quality is poor!,Negative,Product Quality
The product is fine.,Neutral,Product Quality
the build material is bland.,Neutral,Product Quality
Logistics and shipping speed were first-rate.,Positive,Delivery
The price is unbearable!,Negative,Pricing
customer service was decent.,Neutral,Customer Service
i found the item to be awful.,Negative,Product Quality
Value for money is decent!,Neutral,Pricing
delivery was undistinguished.,Neutral,Delivery
Quality is lousy.,Negative,Product Quality
"Support replied immediately, subpar service.",Negative,Customer Service
The app is superlative!,Positive,App/Website
Shipping was top-notch.,Positive,Delivery
My experience with the agent was vile.,Negative,Customer Service
"honestly, the product feels dreadful.",Negative,Product Quality
"Honestly, the product feels acceptable!",Neutral,Product Quality
The build material is loved.,Positive,Product Quality
"They ignored my emails, defective support.",Negative,Customer Service
Logistics and shipping speed were unparalleled.,Positive,Delivery
I found the item to be fantastic.,Positive,Product Quality
Pricing is absolutely revolting.,Negative,Pricing
My experience with the agent was impressive!,Positive,Customer Service
shipping was repulsive.,Negative,Delivery
my experience with the agent was pathetic.,Negative,Customer Service
The website is bad.,Negative,App/Website
"They ignored my emails, worst support.",Negative,Customer Service
"Support replied immediately, okay service!",Neutral,Customer Service
pricing is absolutely hated.,Negative,Pricing
Shipping was okay.,Neutral,Delivery
"it took forever to arrive, acceptable shipping.",Neutral,Delivery
Shipping was superb.,Positive,Delivery
"It took forever to arrive, so-so shipping!",Neutral,Delivery
"app keeps crashing, immaculate experience.",Positive,App/Website
i found the item to be great.,Positive,Product Quality
The build material is unremarkable.,Neutral,Product Quality
the user interface is superb.,Positive,App/Website
customer service was glorious.,Positive,Customer Service
Customer service was terrible.,Negative,Customer Service
The support team is useless!,Negative,Customer Service
"It took forever to arrive, superb shipping.",Positive,Delivery
Logistics and shipping speed were poor.,Negative,Delivery
"For the cost, this is unparalleled!",Positive,Pricing
"honestly, the product feels cheap.",Negative,Product Quality
"For the cost, this is broken.",Negative,Pricing
the user interface is exquisite.,Positive,App/Website
My experience with the agent was decent.,Neutral,Customer Service
I found the item to be vile.,Negative,Product Quality
"support replied immediately, poor service.",Negative,Customer Service
The package arrived brilliant!,Positive,Delivery
Shipping was average!,Neutral,Delivery
"support replied immediately, disgusting service.",Negative,Customer Service
"for the cost, this is top-notch.",Positive,Pricing
"This product is exactly what I expected, absolutely so-so.",Neutral,Product Quality
Delivery was flawless!,Positive,Delivery
"Honestly, the product feels flawless.",Positive,Product Quality
I found the item to be trash.,Negative,Product Quality
"It is too expensive, awesome value!",Positive,Pricing
Value for money is inferior.,Negative,Pricing
The product is good!,Positive,Product Quality
Delivery was poor!,Negative,Delivery
the product is bland.,Neutral,Product Quality
"Honestly, the product feels phenomenal!",Positive,Product Quality
I found the item to be unacceptable.,Negative,Product Quality
"This product is exactly what I expected, absolutely disappointing.",Negative,Product Quality
The app is atrocious.,Negative,App/Website
the price is exceptional.,Positive,Pricing
"Honestly, the product feels stellar.",Positive,Product Quality
I found the item to be mediocre.,Neutral,Product Quality
Quality is okay!,Neutral,Product Quality
The user interface is horrible.,Negative,App/Website
Value for money is superlative.,Positive,Pricing
The website is horrible.,Negative,App/Website
My experience with the agent was bad.,Negative,Customer Service
Shipping was superb!,Positive,Delivery
the website is inferior.,Negative,App/Website
"they ignored my emails, standard support.",Neutral,Customer Service
Pricing is absolutely defective.,Negative,Pricing
The app is cheap!,Negative,App/Website
"Honestly, the product feels okay!",Neutral,Product Quality
Customer service was magnificent!,Positive,Customer Service
The user interface is pathetic.,Negative,App/Website
the package arrived superb.,Positive,Delivery
Delivery was loved.,Positive,Delivery
The user interface is lackluster!,Neutral,App/Website
navigation is inferior.,Negative,App/Website
shipping was glorious.,Positive,Delivery
quality is unparalleled.,Positive,Product Quality
The product is tolerable!,Neutral,Product Quality
"App keeps crashing, flawless experience.",Positive,App/Website
the price is awful.,Negative,Pricing
quality is fine.,Neutral,Product Quality
"They ignored my emails, ok support.",Neutral,Customer Service
navigation is awful.,Negative,App/Website
my experience with the agent was excellent.,Positive,Customer Service
"It took forever to arrive, loved shipping!",Positive,Delivery
i found the item to be unremarkable.,Neutral,Product Quality
quality is perfect.,Positive,Product Quality
"This product is exactly what I expected, absolutely defective.",Negative,Product Quality
"App keeps crashing, phenomenal experience!",Positive,App/Website
"Support replied immediately, inferior service!",Negative,Customer Service
"it took forever to arrive, atrocious shipping.",Negative,Delivery
Value for money is perfect.,Positive,Pricing
Customer service was bad.,Negative,Customer Service
"Support replied immediately, exquisite service.",Positive,Customer Service
I found the item to be unbearable!,Negative,Product Quality
"it took forever to arrive, fantastic shipping.",Positive,Delivery
Value for money is unremarkable!,Neutral,Pricing
Quality is lousy!,Negative,Product Quality
"this product is exactly what i expected, absolutely run-of-the-mill.",Neutral,Product Quality
The product is unparalleled.,Positive,Product Quality
My experience with the agent was outstanding!,Positive,Customer Service
"for the cost, this is run-of-the-mill.",Neutral,Pricing
"support replied immediately, average service.",Neutral,Customer Service
value for money is unparalleled.,Positive,Pricing
delivery was poor.,Negative,Delivery
"Honestly, the product feels bad!",Negative,Product Quality
"honestly, the product feels unbeatable.",Positive,Product Quality
Shipping was pathetic!,Negative,Delivery
Shipping was superlative.,Positive,Delivery
"App keeps crashing, inferior experience!",Negative,App/Website
"for the cost, this is glorious.",Positive,Pricing
"This product is exactly what I expected, absolutely flawless.",Positive,Product Quality
"For the cost, this is awesome.",Positive,Pricing
The build material is atrocious!,Negative,Product Quality
Logistics and shipping speed were fair.,Neutral,Delivery
"They ignored my emails, splendid support.",Positive,Customer Service
The support team is subpar!,Negative,Customer Service
Quality is fantastic!,Positive,Product Quality
"Support replied immediately, bad service.",Negative,Customer Service
"Support replied immediately, awful service!",Negative,Customer Service
Customer service was marvelous!,Positive,Customer Service
Pricing is absolutely love.,Positive,Pricing
Delivery was inadequate!,Negative,Delivery
I found the item to be horrible.,Negative,Product Quality
Quality is average.,Neutral,Product Quality
"It is too expensive, pathetic value!",Negative,Pricing
customer service was worst.,Negative,Customer Service
"It is too expensive, superlative value.",Positive,Pricing
The package arrived immaculate.,Positive,Delivery
navigation is revolting.,Negative,App/Website
Pricing is absolutely flawless!,Positive,Pricing
Value for money is passable!,Neutral,Pricing
Pricing is absolutely impressive!,Positive,Pricing
"Honestly, the product feels lousy!",Negative,Product Quality
"This product is exactly what I expected, absolutely passable!",Neutral,Product Quality
the support team is dreadful.,Negative,Customer Service
Pricing is absolutely broken.,Negative,Pricing
The support team is revolting!,Negative,Customer Service
"app keeps crashing, appalling experience.",Negative,App/Website
My experience with the agent was top-notch!,Positive,Customer Service
Value for money is superb!,Positive,Pricing
"honestly, the product feels inferior.",Negative,Product Quality
The user interface is loved!,Positive,App/Website
navigation is undistinguished.,Neutral,App/Website
Quality is loved.,Positive,Product Quality
Delivery was repulsive!,Negative,Delivery
"This product is exactly what I expected, absolutely glorious!",Positive,Product Quality
Quality is breathtaking!,Positive,Product Quality
the app is unremarkable.,Neutral,App/Website
The price is unremarkable.,Neutral,Pricing
"it took forever to arrive, terrible shipping.",Negative,Delivery
"For the cost, this is unbearable!",Negative,Pricing
"This product is exactly what I expected, absolutely phenomenal!",Positive,Product Quality
Logistics and shipping speed were unbearable!,Negative,Delivery
Shipping was good.,Positive,Delivery
"it took forever to arrive, bland shipping.",Neutral,Delivery
The package arrived immaculate!,Positive,Delivery
Value for money is middle-of-the-road!,Neutral,Pricing
shipping was fantastic.,Positive,Delivery
Logistics and shipping speed were bland!,Neutral,Delivery
"They ignored my emails, lackluster support!",Neutral,Customer Service
delivery was subpar.,Negative,Delivery
"Support replied immediately, revolting service.",Negative,Customer Service
Logistics and shipping speed were trash.,Negative,Delivery
Customer service was middle-of-the-road.,Neutral,Customer Service
"They ignored my emails, atrocious support!",Negative,Customer Service
"It took forever to arrive, flawless shipping!",Positive,Delivery
The website is appalling.,Negative,App/Website
Quality is hate.,Negative,Product Quality
Pricing is absolutely excellent!,Positive,Pricing
Quality is exceptional!,Positive,Product Quality
My experience with the agent was brilliant.,Positive,Customer Service
the package arrived defective.,Negative,Delivery
The product is perfect!,Positive,Product Quality
The website is so-so!,Neutral,App/Website
Quality is phenomenal!,Positive,Product Quality
the price is lackluster.,Neutral,Pricing
"For the cost, this is disappointing!",Negative,Pricing
The product is glorious!,Positive,Product Quality
"App keeps crashing, decent experience!",Neutral,App/Website
the support team is superlative.,Positive,Customer Service
i found the item to be breathtaking.,Positive,Product Quality
my experience with the agent was awesome.,Positive,Customer Service
"Support replied immediately, terrible service.",Negative,Customer Service
"It is too expensive, exceptional value.",Positive,Pricing
The package arrived repulsive!,Negative,Delivery
"for the cost, this is excellent.",Positive,Pricing
the price is vile.,Negative,Pricing
the price is worst.,Negative,Pricing
My experience with the agent was revolting!,Negative,Customer Service
Customer service was horrible.,Negative,Customer Service
quality is hated.,Negative,Product Quality
The price is broken.,Negative,Pricing
"App keeps crashing, outstanding experience!",Positive,App/Website
"Support replied immediately, flawless service.",Positive,Customer Service
The price is disgusting!,Negative,Pricing
The support team is disgusting.,Negative,Customer Service
quality is cheap.,Negative,Product Quality
The price is lousy.,Negative,Pricing
Navigation is abysmal!,Negative,App/Website
The price is disgusting.,Negative,Pricing
"It is too expensive, bland value.",Neutral,Pricing
"this product is exactly what i expected, absolutely perfect.",Positive,Product Quality
Customer service was fantastic.,Positive,Customer Service
the product is wonderful.,Positive,Product Quality
"For the cost, this is trash!",Negative,Pricing
logistics and shipping speed were disappointing.,Negative,Delivery
"for the cost, this is stellar.",Positive,Pricing
Customer service was dreadful!,Negative,Customer Service
The package arrived awesome.,Positive,Delivery
Value for money is trash!,Negative,Pricing
"for the cost, this is unacceptable.",Negative,Pricing
The price is good!,Positive,Pricing
My experience with the agent was disappointing.,Negative,Customer Service
"For the cost, this is bad!",Negative,Pricing
shipping was fine.,Neutral,Delivery
The support team is run-of-the-mill.,Neutral,Customer Service
"app keeps crashing, good experience.",Positive,App/Website
I found the item to be unbeatable.,Positive,Product Quality
The app is marvelous!,Positive,App/Website
The package arrived flawless.,Positive,Delivery
My experience with the agent was poor.,Negative,Customer Service
The price is exceptional.,Positive,Pricing
quality is stellar.,Positive,Product Quality
"Honestly, the product feels immaculate.",Positive,Product Quality
delivery was horrible.,Negative,Delivery
The website is immaculate.,Positive,App/Website
Value for money is bland.,Neutral,Pricing
delivery was trash.,Negative,Delivery
the price is magnificent.,Positive,Pricing
quality is bland.,Neutral,Product Quality
Logistics and shipping speed were acceptable.,Neutral,Delivery
quality is inferior.,Negative,Product Quality
pricing is absolutely useless.,Negative,Pricing
I found the item to be top-notch.,Positive,Product Quality
Value for money is bad!,Negative,Pricing
Customer service was so-so!,Neutral,Customer Service
the app is adequate.,Neutral,App/Website
pricing is absolutely subpar.,Negative,Pricing
the app is subpar.,Negative,App/Website
the build material is loved.,Positive,Product Quality
"It took forever to arrive, repulsive shipping.",Negative,Delivery
Customer service was broken.,Negative,Customer Service
pricing is absolutely poor.,Negative,Pricing
shipping was excellent.,Positive,Delivery
Value for money is loved!,Positive,Pricing
"Honestly, the product feels exquisite!",Positive,Product Quality
"This product is exactly what I expected, absolutely subpar!",Negative,Product Quality
Value for money is awful!,Negative,Pricing
The build material is fine!,Neutral,Product Quality
"They ignored my emails, fine support!",Neutral,Customer Service
"Support replied immediately, atrocious service.",Negative,Customer Service
"this product is exactly what i expected, absolutely horrendous.",Negative,Product Quality
The website is deplorable!,Negative,App/Website
"Honestly, the product feels horrendous!",Negative,Product Quality
"They ignored my emails, marvelous support.",Positive,Customer Service
pricing is absolutely flawless.,Positive,Pricing
The product is not good at all.,Negative,Product Quality
The price is awful.,Negative,Pricing
"honestly, the product feels fine.",Neutral,Product Quality
Pricing is absolutely okay!,Neutral,Pricing
"app keeps crashing, superb experience.",Positive,App/Website
"App keeps crashing, loved experience.",Positive,App/Website
navigation is atrocious.,Negative,App/Website
"App keeps crashing, broken experience!",Negative,App/Website
Value for money is subpar!,Negative,Pricing
The product is inadequate.,Negative,Product Quality
"This product is exactly what I expected, absolutely first-rate!",Positive,Product Quality
my experience with the agent was breathtaking.,Positive,Customer Service
quality is passable.,Neutral,Product Quality
Shipping was phenomenal.,Positive,Delivery
the support team is awful.,Negative,Customer Service
pricing is absolutely terrible.,Negative,Pricing
The support team is immaculate!,Positive,Customer Service
I found the item to be middle-of-the-road!,Neutral,Product Quality
quality is top-notch.,Positive,Product Quality
The price is inferior.,Negative,Pricing
The app is lackluster.,Neutral,App/Website
"This product is exactly what I expected, absolutely horrendous.",Negative,Product Quality
navigation is garbage.,Negative,App/Website
i found the item to be decent.,Neutral,Product Quality
The product is love.,Positive,Product Quality
"Support replied immediately, decent service.",Neutral,Customer Service
The support team is pathetic.,Negative,Customer Service
The build material is immaculate!,Positive,Product Quality
The support team is awesome.,Positive,Customer Service
customer service was poor.,Negative,Customer Service
Pricing is absolutely repulsive!,Negative,Pricing
delivery was loved.,Positive,Delivery
"it is too expensive, magnificent value.",Positive,Pricing
The price is exquisite!,Positive,Pricing
Shipping was superlative!,Positive,Delivery
"App keeps crashing, adequate experience.",Neutral,App/Website
the website is garbage.,Negative,App/Website
Customer service was stellar.,Positive,Customer Service
"It is too expensive, okay value!",Neutral,Pricing
Navigation is superlative!,Positive,App/Website
"It took forever to arrive, fine shipping.",Neutral,Delivery
Navigation is magnificent.,Positive,App/Website
the package arrived adequate.,Neutral,Delivery
pricing is absolutely tolerable.,Neutral,Pricing
"This product is exactly what I expected, absolutely loved!",Positive,Product Quality
The product is phenomenal!,Positive,Product Quality
The app is repulsive.,Negative,App/Website
"It is too expensive, terrible value.",Negative,Pricing
"They ignored my emails, inadequate support.",Negative,Customer Service
The app is terrible!,Negative,App/Website
"It is too expensive, disgusting value.",Negative,Pricing
Shipping was trash.,Negative,Delivery
the product is flawless.,Positive,Product Quality
"Honestly, the product feels appalling.",Negative,Product Quality
The price is poor.,Negative,Pricing
The website is average!,Neutral,App/Website
The price is marvelous.,Positive,Pricing
quality is flawless.,Positive,Product Quality
"For the cost, this is wonderful.",Positive,Pricing
Navigation is brilliant!,Positive,App/Website
"It took forever to arrive, disgusting shipping.",Negative,Delivery
The product is immaculate.,Positive,Product Quality
The website is okay.,Neutral,App/Website
I found the item to be useless!,Negative,Product Quality
"they ignored my emails, undistinguished support.",Neutral,Customer Service
Customer service was top-notch!,Positive,Customer Service
"This product is exactly what I expected, absolutely mediocre.",Neutral,Product Quality
I found the item to be excellent!,Positive,Product Quality
"support replied immediately, acceptable service.",Neutral,Customer Service
"They ignored my emails, average support.",Neutral,Customer Service
the package arrived pathetic.,Negative,Delivery
Value for money is good!,Positive,Pricing
Navigation is horrible.,Negative,App/Website
Logistics and shipping speed were breathtaking!,Positive,Delivery
"app keeps crashing, useless experience.",Negative,App/Website
"it took forever to arrive, splendid shipping.",Positive,Delivery
i found the item to be average.,Neutral,Product Quality
The product is deplorable!,Negative,Product Quality
The user interface is deplorable.,Negative,App/Website
Delivery was undistinguished.,Neutral,Delivery
"this product is exactly what i expected, absolutely vile.",Negative,Product Quality
Customer service was garbage!,Negative,Customer Service
pricing is absolutely unremarkable.,Neutral,Pricing
Navigation is horrendous!,Negative,App/Website
Shipping was acceptable.,Neutral,Delivery
delivery was brilliant.,Positive,Delivery
The package arrived dreadful.,Negative,Delivery
The price is cheap!,Negative,Pricing
The product is inadequate!,Negative,Product Quality
the app is passable.,Neutral,App/Website
Delivery was mediocre!,Neutral,Delivery
shipping was deplorable.,Negative,Delivery
customer service was outstanding.,Positive,Customer Service
The app is first-rate.,Positive,App/Website
Delivery was middle-of-the-road.,Neutral,Delivery
the product is abysmal.,Negative,Product Quality
My experience with the agent was unremarkable!,Neutral,Customer Service
Quality is mediocre.,Neutral,Product Quality
Pricing is absolutely mediocre!,Neutral,Pricing
My experience with the agent was abysmal!,Negative,Customer Service
