text,sentiment,aspect
Customer service was amazing!,Positive,Customer Service
Logistics and shipping speed were perfect.,Positive,Delivery
"they ignored my emails, great support.",Positive,Customer Service
The build material is cheap!,Negative,Product Quality
shipping was hate.,Negative,Delivery
pricing is absolutely hate.,Negative,Pricing
The price is outstanding!,Positive,Pricing
Value for money is hate!,Negative,Pricing
Shipping was great.,Positive,Delivery
"App keeps crashing, broken experience!",Negative,App/Website
the price is great.,Positive,Pricing
"app keeps crashing, fair experience.",Neutral,App/Website
delivery was loved.,Positive,Delivery
Customer service was excellent.,Positive,Customer Service
customer service was outstanding.,Positive,Customer Service
i found the item to be awful.,Negative,Product Quality
the product is garbage.,Negative,Product Quality
Delivery was awesome!,Positive,Delivery
"App keeps crashing, okay experience!",Neutral,App/Website
"it took forever to arrive, superb shipping.",Positive,Delivery
The build material is superb.,Positive,Product Quality
"App keeps crashing, cheap experience!",Negative,App/Website
delivery was trash.,Negative,Delivery
navigation is wonderful.,Positive,App/Website
"for the cost, this is dreadful.",Negative,Pricing
Shipping was awful.,Negative,Delivery
"It is too expensive, hate value.",Negative,Pricing
Quality is great.,Positive,Product Quality
"It took forever to arrive, terrible shipping.",Negative,Delivery
customer service was perfect.,Positive,Customer Service
the app is stellar.,Positive,App/Website
Shipping was bad!,Negative,Delivery
"This product is exactly what I expected, absolutely standard.",Neutral,Product Quality
"Honestly, the product feels great!",Positive,Product Quality
"Support replied immediately, brilliant service.",Positive,Customer Service
Delivery was impressive!,Positive,Delivery
Pricing is absolutely broken!,Negative,Pricing
the package arrived perfect.,Positive,Delivery
My experience with the agent was great!,Positive,Customer Service
"honestly, the product feels awesome.",Positive,Product Quality
The product is disappointing.,Negative,Product Quality
The product is awesome!,Positive,Product Quality
Quality is cheap.,Negative,Product Quality
Customer service was fantastic.,Positive,Customer Service
i found the item to be outstanding.,Positive,Product Quality
"This product is exactly what I expected, absolutely ok.",Neutral,Product Quality
"It took forever to arrive, dreadful shipping!",Negative,Delivery
Quality is average!,Neutral,Product Quality
Logistics and shipping speed were wonderful!,Positive,Delivery
The support team is stellar.,Positive,Customer Service
logistics and shipping speed were bad.,Negative,Delivery
"it is too expensive, acceptable value.",Neutral,Pricing
customer service was flawless.,Positive,Customer Service
the build material is good.,Positive,Product Quality
"It took forever to arrive, impressive shipping.",Positive,Delivery
"This product is exactly what I expected, absolutely poor!",Negative,Product Quality
I found the item to be useless.,Negative,Product Quality
Shipping was worst!,Negative,Delivery
value for money is phenomenal.,Positive,Pricing
The user interface is awful!,Negative,App/Website
The app is outstanding!,Positive,App/Website
the package arrived average.,Neutral,Delivery
"It took forever to arrive, flawless shipping!",Positive,Delivery
The website is trash.,Negative,App/Website
the build material is dreadful.,Negative,Product Quality
shipping was bad.,Negative,Delivery
Delivery was fine!,Neutral,Delivery
quality is garbage.,Negative,Product Quality
my experience with the agent was unacceptable.,Negative,Customer Service
"it took forever to arrive, standard shipping.",Neutral,Delivery
The package arrived great!,Positive,Delivery
the app is bad.,Negative,App/Website
"It is too expensive, fair value!",Neutral,Pricing
"Support replied immediately, bad service.",Negative,Customer Service
The app is hated.,Negative,App/Website
"They ignored my emails, okay support!",Neutral,Customer Service
"App keeps crashing, flawless experience!",Positive,App/Website
"It is too expensive, cheap value.",Negative,Pricing
value for money is decent.,Neutral,Pricing
"it took forever to arrive, love shipping.",Positive,Delivery
the package arrived amazing.,Positive,Delivery
my experience with the agent was broken.,Negative,Customer Service
The app is fine.,Neutral,App/Website
"this product is exactly what i expected, absolutely outstanding.",Positive,Product Quality
My experience with the agent was phenomenal!,Positive,Customer Service
the user interface is amazing.,Positive,App/Website
"It took forever to arrive, awesome shipping!",Positive,Delivery
the user interface is trash.,Negative,App/Website
The user interface is amazing!,Positive,App/Website
pricing is absolutely disappointing.,Negative,Pricing
"Support replied immediately, stellar service.",Positive,Customer Service
The app is awesome.,Positive,App/Website
My experience with the agent was hate.,Negative,Customer Service
The price is broken.,Negative,Pricing
"It took forever to arrive, decent shipping!",Neutral,Delivery
"This product is exactly what I expected, absolutely stellar.",Positive,Product Quality
I found the item to be awful.,Negative,Product Quality
Logistics and shipping speed were cheap.,Negative,Delivery
the app is impressive.,Positive,App/Website
my experience with the agent was impressive.,Positive,Customer Service
Shipping was unacceptable.,Negative,Delivery
Shipping was hated!,Negative,Delivery
the user interface is impressive.,Positive,App/Website
Quality is loved!,Positive,Product Quality
"they ignored my emails, impressive support.",Positive,Customer Service
The user interface is hate!,Negative,App/Website
The price is okay.,Neutral,Pricing
The build material is dreadful!,Negative,Product Quality
"honestly, the product feels great.",Positive,Product Quality
Pricing is absolutely wonderful!,Positive,Pricing
"Honestly, the product feels disappointing!",Negative,Product Quality
I found the item to be passable.,Neutral,Product Quality
"honestly, the product feels impressive.",Positive,Product Quality
The package arrived dreadful.,Negative,Delivery
"It took forever to arrive, passable shipping.",Neutral,Delivery
logistics and shipping speed were fantastic.,Positive,Delivery
the build material is outstanding.,Positive,Product Quality
The support team is cheap!,Negative,Customer Service
delivery was broken.,Negative,Delivery
The product is standard!,Neutral,Product Quality
My experience with the agent was amazing.,Positive,Customer Service
Value for money is stellar.,Positive,Pricing
The build material is hate!,Negative,Product Quality
"they ignored my emails, brilliant support.",Positive,Customer Service
the build material is okay.,Neutral,Product Quality
The product is good!,Positive,Product Quality
Delivery was stellar!,Positive,Delivery
The build material is flawless!,Positive,Product Quality
My experience with the agent was outstanding.,Positive,Customer Service
"Support replied immediately, useless service.",Negative,Customer Service
Delivery was fine.,Neutral,Delivery
Value for money is poor!,Negative,Pricing
The support team is wonderful.,Positive,Customer Service
logistics and shipping speed were dreadful.,Negative,Delivery
"For the cost, this is trash!",Negative,Pricing
I found the item to be disappointing.,Negative,Product Quality
The package arrived bad.,Negative,Delivery
Customer service was perfect.,Positive,Customer Service
"it is too expensive, mediocre value.",Neutral,Pricing
I found the item to be good.,Positive,Product Quality
"Honestly, the product feels excellent!",Positive,Product Quality
the support team is great.,Positive,Customer Service
"app keeps crashing, terrible experience.",Negative,App/Website
"support replied immediately, bad service.",Negative,Customer Service
Delivery was hate.,Negative,Delivery
"support replied immediately, flawless service.",Positive,Customer Service
"They ignored my emails, garbage support!",Negative,Customer Service
"This product is exactly what I expected, absolutely loved!",Positive,Product Quality
the user interface is broken.,Negative,App/Website
Value for money is ok.,Neutral,Pricing
"It is too expensive, good value.",Positive,Pricing
The user interface is cheap!,Negative,App/Website
quality is superb.,Positive,Product Quality
My experience with the agent was disappointing!,Negative,Customer Service
"Honestly, the product feels amazing!",Positive,Product Quality
quality is bad.,Negative,Product Quality
my experience with the agent was loved.,Positive,Customer Service
The app is standard.,Neutral,App/Website
the build material is fair.,Neutral,Product Quality
"It is too expensive, outstanding value.",Positive,Pricing
shipping was standard.,Neutral,Delivery
delivery was stellar.,Positive,Delivery
"It is too expensive, hated value!",Negative,Pricing
i found the item to be stellar.,Positive,Product Quality
Pricing is absolutely excellent.,Positive,Pricing
delivery was dreadful.,Negative,Delivery
Shipping was garbage.,Negative,Delivery
Logistics and shipping speed were phenomenal!,Positive,Delivery
The package arrived perfect.,Positive,Delivery
The user interface is great!,Positive,App/Website
"Honestly, the product feels horrible.",Negative,Product Quality
the user interface is good.,Positive,App/Website
the app is decent.,Neutral,App/Website
Quality is flawless.,Positive,Product Quality
Value for money is garbage!,Negative,Pricing
The support team is excellent!,Positive,Customer Service
The support team is terrible.,Negative,Customer Service
The package arrived broken!,Negative,Delivery
"It is too expensive, ok value.",Neutral,Pricing
the package arrived trash.,Negative,Delivery
"For the cost, this is amazing!",Positive,Pricing
"for the cost, this is flawless.",Positive,Pricing
"it took forever to arrive, average shipping.",Neutral,Delivery
"Support replied immediately, awesome service.",Positive,Customer Service
quality is amazing.,Positive,Product Quality
The user interface is mediocre.,Neutral,App/Website
navigation is trash.,Negative,App/Website
"this product is exactly what i expected, absolutely excellent.",Positive,Product Quality
"App keeps crashing, awful experience!",Negative,App/Website
the support team is awful.,Negative,Customer Service
"this product is exactly what i expected, absolutely unacceptable.",Negative,Product Quality
"They ignored my emails, awesome support!",Positive,Customer Service
"It is too expensive, superb value.",Positive,Pricing
"app keeps crashing, decent experience.",Neutral,App/Website
I found the item to be broken!,Negative,Product Quality
The product is standard.,Neutral,Product Quality
the user interface is fine.,Neutral,App/Website
shipping was trash.,Negative,Delivery
Delivery was amazing.,Positive,Delivery
Customer service was unacceptable.,Negative,Customer Service
The price is ok!,Neutral,Pricing
navigation is phenomenal.,Positive,App/Website
Navigation is trash!,Negative,App/Website
The product is love.,Positive,Product Quality
The product is worst.,Negative,Product Quality
"This product is exactly what I expected, absolutely decent.",Neutral,Product Quality
"This product is exactly what I expected, absolutely good!",Positive,Product Quality
customer service was broken.,Negative,Customer Service
The user interface is love!,Positive,App/Website
"Honestly, the product feels garbage!",Negative,Product Quality
Quality is fine!,Neutral,Product Quality
"This product is exactly what I expected, absolutely useless.",Negative,Product Quality
the app is ok.,Neutral,App/Website
Customer service was outstanding!,Positive,Customer Service
"This product is exactly what I expected, absolutely love!",Positive,Product Quality
Customer service was loved.,Positive,Customer Service
The app is great!,Positive,App/Website
The price is unacceptable.,Negative,Pricing
The product is acceptable.,Neutral,Product Quality
The package arrived perfect!,Positive,Delivery
Quality is worst!,Negative,Product Quality
My experience with the agent was awesome.,Positive,Customer Service
delivery was passable.,Neutral,Delivery
"Support replied immediately, mediocre service.",Neutral,Customer Service
"app keeps crashing, phenomenal experience.",Positive,App/Website
Navigation is trash.,Negative,App/Website
The package arrived hated.,Negative,Delivery
navigation is terrible.,Negative,App/Website
The website is impressive!,Positive,App/Website
"They ignored my emails, bad support.",Negative,Customer Service
"support replied immediately, fantastic service.",Positive,Customer Service
Pricing is absolutely standard!,Neutral,Pricing
Value for money is fine.,Neutral,Pricing
The product is great.,Positive,Product Quality
Shipping was love.,Positive,Delivery
Quality is decent.,Neutral,Product Quality
The website is okay.,Neutral,App/Website
"it took forever to arrive, stellar shipping.",Positive,Delivery
"It is too expensive, trash value!",Negative,Pricing
"For the cost, this is useless!",Negative,Pricing
"App keeps crashing, perfect experience!",Positive,App/Website
The package arrived useless.,Negative,Delivery
"It took forever to arrive, brilliant shipping!",Positive,Delivery
"this product is exactly what i expected, absolutely amazing.",Positive,Product Quality
quality is awful.,Negative,Product Quality
customer service was phenomenal.,Positive,Customer Service
"Honestly, the product feels perfect.",Positive,Product Quality
"They ignored my emails, horrible support.",Negative,Customer Service
The website is disappointing.,Negative,App/Website
"They ignored my emails, cheap support!",Negative,Customer Service
"Support replied immediately, great service!",Positive,Customer Service
value for money is unacceptable.,Negative,Pricing
Quality is love!,Positive,Product Quality
My experience with the agent was useless.,Negative,Customer Service
"It is too expensive, unacceptable value.",Negative,Pricing
"Honestly, the product feels superb!",Positive,Product Quality
The website is good.,Positive,App/Website
Value for money is great.,Positive,Pricing
my experience with the agent was worst.,Negative,Customer Service
"They ignored my emails, perfect support!",Positive,Customer Service
the price is hated.,Negative,Pricing
The product is impressive.,Positive,Product Quality
The build material is outstanding!,Positive,Product Quality
the app is poor.,Negative,App/Website
The price is passable!,Neutral,Pricing
Pricing is absolutely mediocre!,Neutral,Pricing
shipping was poor.,Negative,Delivery
"this product is exactly what i expected, absolutely awesome.",Positive,Product Quality
Navigation is cheap.,Negative,App/Website
"it is too expensive, perfect value.",Positive,Pricing
The website is great!,Positive,App/Website
pricing is absolutely average.,Neutral,Pricing
shipping was ok.,Neutral,Delivery
"it is too expensive, stellar value.",Positive,Pricing
"They ignored my emails, trash support!",Negative,Customer Service
Pricing is absolutely great.,Positive,Pricing
My experience with the agent was wonderful.,Positive,Customer Service
delivery was okay.,Neutral,Delivery
my experience with the agent was superb.,Positive,Customer Service
my experience with the agent was fine.,Neutral,Customer Service
customer service was terrible.,Negative,Customer Service
The website is phenomenal.,Positive,App/Website
"it is too expensive, superb value.",Positive,Pricing
"honestly, the product feels useless.",Negative,Product Quality
the app is flawless.,Positive,App/Website
my experience with the agent was outstanding.,Positive,Customer Service
"app keeps crashing, ok experience.",Neutral,App/Website
Customer service was standard.,Neutral,Customer Service
The build material is impressive!,Positive,Product Quality
Pricing is absolutely hated!,Negative,Pricing
Quality is horrible.,Negative,Product Quality
Value for money is great!,Positive,Pricing
Shipping was excellent.,Positive,Delivery
delivery was standard.,Neutral,Delivery
the user interface is garbage.,Negative,App/Website
Pricing is absolutely trash.,Negative,Pricing
Delivery was phenomenal!,Positive,Delivery
"Honestly, the product feels hate!",Negative,Product Quality
"Support replied immediately, bad service!",Negative,Customer Service
The website is ok.,Neutral,App/Website
Customer service was flawless.,Positive,Customer Service
shipping was worst.,Negative,Delivery
Not worth the money.,Negative,Pricing
"This product is exactly what I expected, absolutely awesome.",Positive,Product Quality
i found the item to be amazing.,Positive,Product Quality
"It took forever to arrive, acceptable shipping.",Neutral,Delivery
pricing is absolutely decent.,Neutral,Pricing
My experience with the agent was fantastic.,Positive,Customer Service
The build material is terrible!,Negative,Product Quality
the user interface is decent.,Neutral,App/Website
delivery was ok.,Neutral,Delivery
the build material is fantastic.,Positive,Product Quality
Delivery was bad!,Negative,Delivery
"Support replied immediately, flawless service!",Positive,Customer Service
the support team is disappointing.,Negative,Customer Service
Pricing is absolutely bad!,Negative,Pricing
The price is horrible.,Negative,Pricing
Logistics and shipping speed were worst!,Negative,Delivery
"they ignored my emails, decent support.",Neutral,Customer Service
Value for money is okay!,Neutral,Pricing
pricing is absolutely loved.,Positive,Pricing
Logistics and shipping speed were flawless!,Positive,Delivery
The app is impressive!,Positive,App/Website
"They ignored my emails, phenomenal support!",Positive,Customer Service
"honestly, the product feels flawless.",Positive,Product Quality
pricing is absolutely stellar.,Positive,Pricing
"It is too expensive, loved value.",Positive,Pricing
The app is hated!,Negative,App/Website
The app is terrible.,Negative,App/Website
shipping was flawless.,Positive,Delivery
The app is bad.,Negative,App/Website
the user interface is useless.,Negative,App/Website
the build material is superb.,Positive,Product Quality
The website is fair.,Neutral,App/Website
customer service was bad.,Negative,Customer Service
the website is dreadful.,Negative,App/Website
Shipping was acceptable.,Neutral,Delivery
Delivery was mediocre!,Neutral,Delivery
the user interface is average.,Neutral,App/Website
My experience with the agent was amazing!,Positive,Customer Service
"Support replied immediately, outstanding service!",Positive,Customer Service
"They ignored my emails, unacceptable support.",Negative,Customer Service
the website is poor.,Negative,App/Website
"Honestly, the product feels hate.",Negative,Product Quality
"it took forever to arrive, outstanding shipping.",Positive,Delivery
the package arrived hate.,Negative,Delivery
"Support replied immediately, acceptable service!",Neutral,Customer Service
Customer service was cheap!,Negative,Customer Service
My experience with the agent was broken!,Negative,Customer Service
"It is too expensive, phenomenal value!",Positive,Pricing
"It is too expensive, brilliant value.",Positive,Pricing
The price is dreadful.,Negative,Pricing
The support team is bad!,Negative,Customer Service
"This product is exactly what I expected, absolutely ok!",Neutral,Product Quality
My experience with the agent was unacceptable!,Negative,Customer Service
the app is mediocre.,Neutral,App/Website
"It took forever to arrive, love shipping.",Positive,Delivery
Customer service was worst.,Negative,Customer Service
The website is garbage.,Negative,App/Website
"It is too expensive, awesome value!",Positive,Pricing
"Honestly, the product feels phenomenal!",Positive,Product Quality
The package arrived wonderful.,Positive,Delivery
"Support replied immediately, loved service.",Positive,Customer Service
navigation is bad.,Negative,App/Website
The product is mediocre!,Neutral,Product Quality
Quality is useless!,Negative,Product Quality
"Honestly, the product feels fair!",Neutral,Product Quality
"App keeps crashing, fantastic experience.",Positive,App/Website
Delivery was perfect!,Positive,Delivery
the website is fine.,Neutral,App/Website
"app keeps crashing, unacceptable experience.",Negative,App/Website
"This product is exactly what I expected, absolutely hated!",Negative,Product Quality
"App keeps crashing, amazing experience!",Positive,App/Website
the package arrived standard.,Neutral,Delivery
The price is broken!,Negative,Pricing
"For the cost, this is brilliant.",Positive,Pricing
"It is too expensive, impressive value!",Positive,Pricing
the product is outstanding.,Positive,Product Quality
the price is fine.,Neutral,Pricing
"App keeps crashing, standard experience!",Neutral,App/Website
Pricing is absolutely decent!,Neutral,Pricing
"App keeps crashing, excellent experience!",Positive,App/Website
The package arrived poor!,Negative,Delivery
"honestly, the product feels hate.",Negative,Product Quality
i found the item to be perfect.,Positive,Product Quality
"this product is exactly what i expected, absolutely cheap.",Negative,Product Quality
the website is disappointing.,Negative,App/Website
The build material is unacceptable!,Negative,Product Quality
Value for money is disappointing!,Negative,Pricing
My experience with the agent was decent.,Neutral,Customer Service
the product is wonderful.,Positive,Product Quality
navigation is horrible.,Negative,App/Website
"for the cost, this is ok.",Neutral,Pricing
customer service was stellar.,Positive,Customer Service
The product is broken.,Negative,Product Quality
Delivery was ok!,Neutral,Delivery
Customer service was average.,Neutral,Customer Service
The price is worst!,Negative,Pricing
"for the cost, this is love.",Positive,Pricing
Quality is average.,Neutral,Product Quality
Pricing is absolutely awful.,Negative,Pricing
The support team is poor.,Negative,Customer Service
Value for money is useless.,Negative,Pricing
The website is mediocre!,Neutral,App/Website
the price is superb.,Positive,Pricing
Pricing is absolutely average!,Neutral,Pricing
"They ignored my emails, flawless support.",Positive,Customer Service
The build material is superb!,Positive,Product Quality
The user interface is brilliant!,Positive,App/Website
the website is useless.,Negative,App/Website
quality is unacceptable.,Negative,Product Quality
The website is brilliant.,Positive,App/Website
the product is horrible.,Negative,Product Quality
"This product is exactly what I expected, absolutely useless!",Negative,Product Quality
"Honestly, the product feels impressive.",Positive,Product Quality
"For the cost, this is hate.",Negative,Pricing
Value for money is broken.,Negative,Pricing
The build material is outstanding.,Positive,Product Quality
"app keeps crashing, horrible experience.",Negative,App/Website
"for the cost, this is wonderful.",Positive,Pricing
"App keeps crashing, passable experience!",Neutral,App/Website
I found the item to be terrible.,Negative,Product Quality
the support team is good.,Positive,Customer Service
"app keeps crashing, impressive experience.",Positive,App/Website
Logistics and shipping speed were useless.,Negative,Delivery
"it took forever to arrive, okay shipping.",Neutral,Delivery
"Support replied immediately, useless service!",Negative,Customer Service
the product is dreadful.,Negative,Product Quality
navigation is loved.,Positive,App/Website
I found the item to be hated.,Negative,Product Quality
"For the cost, this is hate!",Negative,Pricing
Quality is phenomenal.,Positive,Product Quality
"It is too expensive, mediocre value!",Neutral,Pricing
Shipping was wonderful.,Positive,Delivery
Customer service was hate.,Negative,Customer Service
"Support replied immediately, good service.",Positive,Customer Service
Value for money is stellar!,Positive,Pricing
"it took forever to arrive, phenomenal shipping.",Positive,Delivery
"It is too expensive, horrible value!",Negative,Pricing
"For the cost, this is good!",Positive,Pricing
Navigation is decent!,Neutral,App/Website
The build material is awesome.,Positive,Product Quality
"they ignored my emails, superb support.",Positive,Customer Service
Navigation is perfect.,Positive,App/Website
"It took forever to arrive, horrible shipping!",Negative,Delivery
"support replied immediately, garbage service.",Negative,Customer Service
pricing is absolutely brilliant.,Positive,Pricing
"They ignored my emails, love support.",Positive,Customer Service
"honestly, the product feels fair.",Neutral,Product Quality
"App keeps crashing, garbage experience.",Negative,App/Website
The product is garbage.,Negative,Product Quality
The website is trash!,Negative,App/Website
Quality is poor.,Negative,Product Quality
the product is okay.,Neutral,Product Quality
The build material is excellent.,Positive,Product Quality
Value for money is good.,Positive,Pricing
the support team is cheap.,Negative,Customer Service
the app is fantastic.,Positive,App/Website
I found the item to be trash.,Negative,Product Quality
Value for money is fair!,Neutral,Pricing
"they ignored my emails, stellar support.",Positive,Customer Service
Customer service was passable!,Neutral,Customer Service
Shipping was hated.,Negative,Delivery
delivery was amazing.,Positive,Delivery
The build material is fine.,Neutral,Product Quality
"Honestly, the product feels trash.",Negative,Product Quality
"it is too expensive, bad value.",Negative,Pricing
Delivery was loved!,Positive,Delivery
Quality is awful!,Negative,Product Quality
"Honestly, the product feels broken.",Negative,Product Quality
Navigation is fair.,Neutral,App/Website
Shipping was awesome.,Positive,Delivery
Delivery was flawless!,Positive,Delivery
the user interface is okay.,Neutral,App/Website
value for money is worst.,Negative,Pricing
i found the item to be superb.,Positive,Product Quality
The product is loved.,Positive,Product Quality
The user interface is awful.,Negative,App/Website
"It took forever to arrive, average shipping.",Neutral,Delivery
"it is too expensive, hated value.",Negative,Pricing
value for money is acceptable.,Neutral,Pricing
"Support replied immediately, hate service.",Negative,Customer Service
The app is poor.,Negative,App/Website
Value for money is cheap.,Negative,Pricing
"it is too expensive, ok value.",Neutral,Pricing
The package arrived terrible!,Negative,Delivery
"it is too expensive, average value.",Neutral,Pricing
"App keeps crashing, hate experience!",Negative,App/Website
"for the cost, this is garbage.",Negative,Pricing
Delivery was excellent!,Positive,Delivery
the product is mediocre.,Neutral,Product Quality
The website is excellent!,Positive,App/Website
"It is too expensive, good value!",Positive,Pricing
the app is awesome.,Positive,App/Website
"it took forever to arrive, bad shipping.",Negative,Delivery
"for the cost, this is awful.",Negative,Pricing
The package arrived okay!,Neutral,Delivery
the app is garbage.,Negative,App/Website
The user interface is excellent.,Positive,App/Website
Value for money is wonderful.,Positive,Pricing
"It took forever to arrive, poor shipping!",Negative,Delivery
Value for money is decent.,Neutral,Pricing
